Number: Data    Where                           Num. of occurrences
4: 0840 0000    tutorial_course_data_08         11
5: 0840 0000    sample_course_data_01           7
5: 0840 0000    sample_course_data_01_corrupt   6
5: 0000 0000    sample_course_data_01_corrupt   1
5: 0840 0000    sample_course_data_02           3
5: 0840 0000    sample_course_data_03           1
5: 0840 0000    sample_course_data_08           4
5: 0840 0000    sample_course_data_08_sub       5
5: 0840 0000    sample_course_data_08_sub_v32   5
5: 0840 0000    sample_course_data_08_v32       4
5: 0840 0000    sample_course_data_09_sub       4
5: 0840 0000    sample_course_data_09_sub_v32   4
5: 0840 0000    sample_course_data_10           1
5: 0840 0000    sample_course_data_11           1
5: 0840 0000    sample_course_data_12           2
5: 0840 0000    sample_course_data_14           2
5: 0840 0000    sample_course_data_15           4
5: 0840 0000    sample_course_data_19           42
5: 0840 0000    sample_course_data_24           2
5: 0840 0000    sample_course_data_28           343
5: 0840 0000    sample_course_data_31           14
5: 0840 0000    sample_course_data_33           1
5: 0840 0000    sample_course_data_36           1
5: 0840 0000    sample_course_data_37           2
5: 0840 0000    sample_course_data_39           2
5: 0840 0000    sample_course_data_48           2
5: 0c40 0000    sample_course_data_49           1
5: 0840 0000    sample_course_data_51           3
5: 0840 0000    sample_course_data_51_sub       2
5: 0840 0000    sample_course_data_52           6
5: 0840 0000    sample_course_data_57           1
5: 0840 0000    sample_course_data_58           1
5: 0840 0000    sample_course_data_65           1
5: 0840 0000    sample_course_data_68           9
5: 0840 0000    sample_course_data_69           8
5: 0840 0000    sample_course_data_69_sub       3
5: 0840 0000    sample_course_data_72           4
5: 0840 0000    sample_course_data_74           10
5: 0c40 0000    sample_course_data_74_sub       4
5: 0840 0000    sample_course_data_75           1
5: 0840 0000    sample_course_data_75_sub       8
5: 0840 0000    sample_course_data_77           2
5: 0840 0000    sample_course_data_77_sub       1
5: 0840 0000    sample_course_data_79           5
5: 0840 0000    sample_course_data_79_sub       1
5: 0840 0000    sample_course_data_82           12
5: 0840 0000    sample_course_data_84           3
5: 0840 0000    sample_course_data_93           1
5: 0840 0000    sample_course_data_95           4
5: 0840 0000    sample_course_data_95_sub       5
5: 0840 0000    sample_course_data_96           3
5: 0840 0000    sample_course_data_96_sub       3
5: 0840 0000    sample_course_data_97           8
5: 0840 0000    sample_course_data_98           2
5: 0840 0000    sample_course_data_99           9
5: 0842 0000    sample_course_data_99_sub       6
5: 0840 0000    tutorial_course_data_00         2
5: 0840 0000    tutorial_course_data_01         9
5: 0840 0000    tutorial_course_data_02         3
5: 0840 0000    tutorial_course_data_03         4
5: 0840 0000    tutorial_course_data_04         3
5: 0840 0000    tutorial_course_data_05         8
5: 0840 0000    tutorial_course_data_06         2
5: 0840 0000    tutorial_course_data_07         1
5: 0840 0000    tutorial_course_data_08         2
5: 0840 0000    tutorial_course_data_08_sub     1
6: 0840 0000    sample_course_data_01           57
6: 0840 0000    sample_course_data_01_corrupt   31
6: 0000 0000    sample_course_data_01_corrupt   26
6: 0840 0000    sample_course_data_02           56
6: 0840 0000    sample_course_data_03           6
6: 0840 0000    sample_course_data_08_sub       2
6: 0840 0000    sample_course_data_08_sub_v32   2
6: 0840 0000    sample_course_data_09_sub       4
6: 0840 0000    sample_course_data_09_sub_v32   4
6: 0840 0000    sample_course_data_11           3
6: 0840 0000    sample_course_data_11_sub       2
6: 0c40 0000    sample_course_data_14           2
6: 0842 0000    sample_course_data_14           3
6: 0840 0000    sample_course_data_14           1
6: 0840 0000    sample_course_data_14_sub       641
6: 0840 0000    sample_course_data_15           16
6: 0840 0000    sample_course_data_19           28
6: 0840 0000    sample_course_data_21           29
6: 0840 0000    sample_course_data_24           23
6: 0840 0000    sample_course_data_28           1097
6: 0840 0000    sample_course_data_29           7
6: 0840 0000    sample_course_data_33           43
6: 0840 0000    sample_course_data_37           15
6: 0840 0000    sample_course_data_38           9
6: 0840 0000    sample_course_data_41           23
6: 0840 0000    sample_course_data_49           7
6: 0840 0000    sample_course_data_51           1
6: 0840 0000    sample_course_data_57           12
6: 0840 0000    sample_course_data_62           28
6: 0840 0000    sample_course_data_68           95
6: 0840 0000    sample_course_data_68_sub       12
6: 0840 0000    sample_course_data_69_sub       978
6: 0840 0000    sample_course_data_71           28
6: 0840 0000    sample_course_data_72           36
6: 0840 0000    sample_course_data_74           200
6: 0840 0000    sample_course_data_75_sub       9
6: 0840 0000    sample_course_data_77           19
6: 0840 0000    sample_course_data_79           2
6: 0840 0000    sample_course_data_82           88
6: 0840 0000    sample_course_data_84           1
6: 0840 0000    sample_course_data_88_sub       6
6: 0840 0000    sample_course_data_92           44
6: 0840 0000    sample_course_data_92_sub       21
6: 0840 0000    sample_course_data_93           56
6: 0840 0000    sample_course_data_93_sub       34
6: 0840 0000    sample_course_data_95           963
6: 0840 0000    sample_course_data_95_sub       36
6: 0840 0000    sample_course_data_96           583
6: 0840 0000    sample_course_data_96_sub       1346
6: 0840 0000    sample_course_data_97           18
6: 0840 0000    sample_course_data_98           4
6: 0840 0000    tutorial_course_data_00         5
6: 0840 0000    tutorial_course_data_01         15
6: 0840 0000    tutorial_course_data_04         10
6: 0840 0000    tutorial_course_data_05         14
6: 0840 0000    tutorial_course_data_06         10
6: 0840 0000    tutorial_course_data_08         13
7: 0840 0000    sample_course_data_01           74
7: 0840 0000    sample_course_data_01_corrupt   37
7: 0000 0000    sample_course_data_01_corrupt   37
7: 0840 0000    sample_course_data_02           2
7: 0840 0000    sample_course_data_03           135
7: 0840 0000    sample_course_data_03_sub       124
7: 0840 0000    sample_course_data_08           118
7: 0840 0000    sample_course_data_08_sub       119
7: 0840 0000    sample_course_data_08_sub_v32   119
7: 0840 0000    sample_course_data_08_v32       118
7: 0840 0000    sample_course_data_09           1359
7: 0840 0000    sample_course_data_09_sub       664
7: 0840 0000    sample_course_data_09_sub_v32   662
7: 0840 0000    sample_course_data_09_v32       1359
7: 0840 0000    sample_course_data_11           579
7: 0840 0000    sample_course_data_11_sub       414
7: 0840 0000    sample_course_data_12           1400
7: 0840 0000    sample_course_data_12_sub       1459
7: 0840 0000    sample_course_data_14           1315
7: 0840 0000    sample_course_data_14_sub       1102
7: 0840 0000    sample_course_data_15           8
7: 0840 0000    sample_course_data_19           85
7: 0840 0000    sample_course_data_21           54
7: 0840 0000    sample_course_data_24           1886
7: 0840 0000    sample_course_data_28           175
7: 0840 0000    sample_course_data_29           12
7: 0840 0000    sample_course_data_30           104
7: 0840 0000    sample_course_data_31           34
7: 0840 0000    sample_course_data_32           73
7: 0840 0000    sample_course_data_33           232
7: 0840 0000    sample_course_data_35           14
7: 0840 0000    sample_course_data_36           889
7: 0840 0000    sample_course_data_37           194
7: 0840 0000    sample_course_data_39           229
7: 0840 0000    sample_course_data_41           8
7: 0840 0000    sample_course_data_47           1016
7: 0840 0000    sample_course_data_48           1080
7: 0840 0000    sample_course_data_49           107
7: 0840 0000    sample_course_data_50           102
7: 0840 0000    sample_course_data_51           275
7: 0840 0000    sample_course_data_51_sub       771
7: 0840 0000    sample_course_data_52           50
7: 0840 0000    sample_course_data_55           39
7: 0840 0000    sample_course_data_56           76
7: 0840 0000    sample_course_data_57           748
7: 0840 0000    sample_course_data_58           114
7: 0840 0000    sample_course_data_62           108
7: 0840 0000    sample_course_data_63           860
7: 0840 0000    sample_course_data_66           12
7: 0840 0000    sample_course_data_68           346
7: 0840 0000    sample_course_data_68_sub       48
7: 0840 0000    sample_course_data_69           801
7: 0840 0000    sample_course_data_71           521
7: 0840 0000    sample_course_data_72           86
7: 0840 0000    sample_course_data_74           139
7: 0840 0000    sample_course_data_74_sub       841
7: 0840 0000    sample_course_data_75           127
7: 0840 0000    sample_course_data_75_sub       142
7: 0840 0000    sample_course_data_77           888
7: 0840 0000    sample_course_data_77_sub       1454
7: 0840 0000    sample_course_data_79           15
7: 0840 0000    sample_course_data_80           13
7: 0840 0000    sample_course_data_82           390
7: 0840 0000    sample_course_data_82_sub       96
7: 0840 0000    sample_course_data_84           258
7: 0840 0000    sample_course_data_88           484
7: 0840 0000    sample_course_data_88_sub       254
7: 0840 0000    sample_course_data_92           210
7: 0840 0000    sample_course_data_92_sub       574
7: 0840 0000    sample_course_data_93           657
7: 0840 0000    sample_course_data_93_sub       334
7: 0840 0000    sample_course_data_95           450
7: 0840 0000    sample_course_data_95_sub       360
7: 0840 0000    sample_course_data_96           540
7: 0840 0000    sample_course_data_96_sub       224
7: 0840 0000    sample_course_data_97           217
7: 0840 0000    sample_course_data_97_sub       213
7: 0840 0000    sample_course_data_98           1029
7: 0840 0000    sample_course_data_99           629
7: 0840 0000    sample_course_data_99_sub       828
7: 0840 0000    tutorial_course_data_00         108
7: 0840 0000    tutorial_course_data_01         295
7: 0840 0000    tutorial_course_data_02         389
7: 0840 0000    tutorial_course_data_03         374
7: 0840 0000    tutorial_course_data_04         356
7: 0840 0000    tutorial_course_data_05         863
7: 0840 0000    tutorial_course_data_06         178
7: 0840 0000    tutorial_course_data_07         264
7: 0840 0000    tutorial_course_data_08         401
7: 0840 0000    tutorial_course_data_08_sub     210
8: 0840 0000    sample_course_data_01           4
8: 0840 0000    sample_course_data_01_corrupt   2
8: 0000 0000    sample_course_data_01_corrupt   2
8: 0840 0000    sample_course_data_08           1
8: 0840 0000    sample_course_data_08_sub       27
8: 0840 0000    sample_course_data_08_sub_v32   27
8: 0840 0000    sample_course_data_08_v32       1
8: 0842 0000    sample_course_data_09_sub       15
8: 0861 0000    sample_course_data_09_sub       1
8: 0842 0000    sample_course_data_09_sub_v32   15
8: 0861 0000    sample_course_data_09_sub_v32   1
8: 0861 0000    sample_course_data_11           3
8: 0840 0000    sample_course_data_11           55
8: 0801 0000    sample_course_data_11           9
8: 0841 0000    sample_course_data_11_sub       11
8: 0861 0000    sample_course_data_11_sub       10
8: 0840 0000    sample_course_data_11_sub       198
8: 0801 0000    sample_course_data_11_sub       3
8: 0821 0000    sample_course_data_11_sub       3
8: 0840 0000    sample_course_data_12           55
8: 0840 0000    sample_course_data_12_sub       43
8: 0840 0000    sample_course_data_14_sub       27
8: 0840 0000    sample_course_data_15           30
8: 0840 0000    sample_course_data_19           39
8: 0840 0000    sample_course_data_21           7
8: 0840 0000    sample_course_data_28           24
8: 0c40 0000    sample_course_data_30           5
8: 0840 0000    sample_course_data_33           3
8: 0840 0000    sample_course_data_35           7
8: 0840 0000    sample_course_data_37           13
8: 0840 0000    sample_course_data_38           9
8: 0840 0000    sample_course_data_39           21
8: 0840 0000    sample_course_data_41           30
8: 0861 0000    sample_course_data_42           1
8: 0840 0000    sample_course_data_42           33
8: 0840 0000    sample_course_data_47           25
8: 0840 0000    sample_course_data_51           57
8: 0840 0000    sample_course_data_51_sub       4
8: 0840 0000    sample_course_data_56           16
8: 0840 0000    sample_course_data_57           47
8: 0840 0000    sample_course_data_58           18
8: 0840 0000    sample_course_data_62           100
8: 0840 0000    sample_course_data_65           12
8: 0840 0000    sample_course_data_68           44
8: 0840 0000    sample_course_data_68_sub       12
8: 0840 0000    sample_course_data_69_sub       20
8: 0840 0000    sample_course_data_72           21
8: 0840 0000    sample_course_data_74           12
8: 0c40 0000    sample_course_data_74_sub       20
8: 0840 0000    sample_course_data_74_sub       8
8: 0840 0000    sample_course_data_75_sub       11
8: 0840 0000    sample_course_data_77           135
8: 0840 0000    sample_course_data_77_sub       23
8: 0842 0000    sample_course_data_79           10
8: 0840 0000    sample_course_data_79           20
8: 0861 0000    sample_course_data_79_sub       1
8: 0840 0000    sample_course_data_79_sub       30
8: 0840 0000    sample_course_data_88           49
8: 0840 0000    sample_course_data_88_sub       30
8: 0840 0000    sample_course_data_90           100
8: 0842 0000    sample_course_data_92           4
8: 0840 0000    sample_course_data_95           46
8: 0840 0000    sample_course_data_95_sub       17
8: 0840 0000    sample_course_data_96           15
8: 0840 0000    sample_course_data_96_sub       12
8: 0841 0000    sample_course_data_97           3
8: 0840 0000    sample_course_data_97           23
8: 0840 0000    sample_course_data_97_sub       12
8: 0840 0000    sample_course_data_99           32
8: 0840 0000    tutorial_course_data_00         3
8: 0840 0000    tutorial_course_data_01         36
8: 0840 0000    tutorial_course_data_02         53
8: 0840 0000    tutorial_course_data_03         49
8: 0840 0000    tutorial_course_data_04         32
8: 0840 0000    tutorial_course_data_05         85
8: 0840 0000    tutorial_course_data_06         70
8: 0840 0000    tutorial_course_data_07         65
8: 0840 0000    tutorial_course_data_08         32
8: 0840 0000    tutorial_course_data_08_sub     19
9: 0860 0000    sample_course_data_03           9
9: 08e0 0000    sample_course_data_03           3
9: 0840 0000    sample_course_data_03           4
9: 0800 0000    sample_course_data_03_sub       1
9: 0840 0000    sample_course_data_03_sub       1
9: 0860 0000    sample_course_data_08           1
9: 0840 0000    sample_course_data_08           4
9: 08e0 0000    sample_course_data_08_sub       5
9: 0860 0000    sample_course_data_08_sub       1
9: 0840 0000    sample_course_data_08_sub       5
9: 08e0 0000    sample_course_data_08_sub_v32   5
9: 0860 0000    sample_course_data_08_sub_v32   1
9: 0840 0000    sample_course_data_08_sub_v32   5
9: 0860 0000    sample_course_data_08_v32       1
9: 0840 0000    sample_course_data_08_v32       4
9: 08e0 0000    sample_course_data_09           2
9: 0880 0000    sample_course_data_09           1
9: 0840 0000    sample_course_data_09           2
9: 08c0 0000    sample_course_data_09           1
9: 08e0 0000    sample_course_data_09_sub       6
9: 0840 0000    sample_course_data_09_sub       2
9: 08c0 0000    sample_course_data_09_sub       3
9: 08e0 0000    sample_course_data_09_sub_v32   6
9: 0840 0000    sample_course_data_09_sub_v32   2
9: 08c0 0000    sample_course_data_09_sub_v32   3
9: 08e0 0000    sample_course_data_09_v32       2
9: 0880 0000    sample_course_data_09_v32       1
9: 0840 0000    sample_course_data_09_v32       2
9: 08c0 0000    sample_course_data_09_v32       1
9: 0860 0000    sample_course_data_11           1
9: 08e0 0000    sample_course_data_11           3
9: 0880 0000    sample_course_data_11           9
9: 0840 0000    sample_course_data_11           3
9: 08e0 0000    sample_course_data_11_sub       10
9: 0880 0000    sample_course_data_11_sub       3
9: 0860 0000    sample_course_data_11_sub       2
9: 08a0 0000    sample_course_data_11_sub       3
9: 0840 0000    sample_course_data_11_sub       1
9: 08c0 0000    sample_course_data_11_sub       11
9: 08e0 0000    sample_course_data_12           1
9: 0800 0000    sample_course_data_12           1
9: 0880 0000    sample_course_data_12           1
9: 0840 0000    sample_course_data_12           1
9: 0860 0000    sample_course_data_12_sub       1
9: 0880 0000    sample_course_data_12_sub       1
9: 0820 0000    sample_course_data_12_sub       1
9: 08e0 0000    sample_course_data_14           3
9: 0840 0000    sample_course_data_14           1
9: 08c0 0000    sample_course_data_14           3
9: 0820 0000    sample_course_data_14_sub       1
9: 0860 0000    sample_course_data_14_sub       3
9: 0800 0000    sample_course_data_14_sub       1
9: 0840 0000    sample_course_data_14_sub       2
9: 08c0 0000    sample_course_data_14_sub       1
9: 08e0 0000    sample_course_data_19           1
9: 08c0 0000    sample_course_data_19           1
9: 08c0 0000    sample_course_data_29           1
9: 0880 0000    sample_course_data_33           1
9: 08c0 0000    sample_course_data_33           1
9: 08e0 0000    sample_course_data_42           3
9: 0840 0000    sample_course_data_51           2
9: 08c0 0000    sample_course_data_51           1
9: 0860 0000    sample_course_data_51_sub       1
9: 0800 0000    sample_course_data_51_sub       1
9: 0840 0000    sample_course_data_58           4
9: 08e0 0000    sample_course_data_62           4
9: 0860 0000    sample_course_data_62           2
9: 08c0 0000    sample_course_data_62           4
9: 08c0 0000    sample_course_data_68           5
9: 0860 0000    sample_course_data_68_sub       1
9: 0840 0000    sample_course_data_68_sub       1
9: 0820 0000    sample_course_data_68_sub       1
9: 0840 0000    sample_course_data_69           3
9: 08c0 0000    sample_course_data_69           12
9: 0860 0000    sample_course_data_69_sub       4
9: 0840 0000    sample_course_data_69_sub       1
9: 0820 0000    sample_course_data_69_sub       1
9: 08c0 0000    sample_course_data_71           3
9: 0860 0000    sample_course_data_74           1
9: 0840 0000    sample_course_data_74           3
9: 0860 0000    sample_course_data_74_sub       2
9: 0840 0000    sample_course_data_74_sub       1
9: 0840 0000    sample_course_data_75           2
9: 0860 0000    sample_course_data_75_sub       1
9: 08a0 0000    sample_course_data_75_sub       1
9: 0840 0000    sample_course_data_75_sub       1
9: 0800 0000    sample_course_data_77           1
9: 0840 0000    sample_course_data_77           15
9: 08c0 0000    sample_course_data_77           21
9: 0860 0000    sample_course_data_77_sub       6
9: 08e0 0000    sample_course_data_77_sub       1
9: 0840 0000    sample_course_data_77_sub       1
9: 0840 0000    sample_course_data_79           2
9: 0860 0000    sample_course_data_79_sub       2
9: 08e0 0000    sample_course_data_79_sub       1
9: 0840 0000    sample_course_data_82           6
9: 0860 0000    sample_course_data_82_sub       2
9: 08e0 0000    sample_course_data_88           1
9: 0860 0000    sample_course_data_88           1
9: 0840 0000    sample_course_data_88           1
9: 08e0 0000    sample_course_data_88_sub       1
9: 0800 0000    sample_course_data_88_sub       1
9: 08a0 0000    sample_course_data_88_sub       1
9: 0840 0000    sample_course_data_88_sub       1
9: 0800 0000    sample_course_data_92           2
9: 0840 0000    sample_course_data_92           2
9: 0860 0000    sample_course_data_92_sub       2
9: 0800 0000    sample_course_data_93           1
9: 0840 0000    sample_course_data_93           1
9: 0860 0000    sample_course_data_93_sub       1
9: 0820 0000    sample_course_data_93_sub       1
9: 0860 0000    sample_course_data_95           4
9: 0840 0000    sample_course_data_95           3
9: 0820 0000    sample_course_data_95           2
9: 0860 0000    sample_course_data_95_sub       1
9: 0820 0000    sample_course_data_95_sub       1
9: 0840 0000    sample_course_data_95_sub       4
9: 08c0 0000    sample_course_data_95_sub       3
9: 0860 0000    sample_course_data_96           1
9: 0820 0000    sample_course_data_96           2
9: 0840 0000    sample_course_data_96           4
9: 08c0 0000    sample_course_data_96           6
9: 0860 0000    sample_course_data_96_sub       3
9: 0820 0000    sample_course_data_96_sub       1
9: 0840 0000    sample_course_data_96_sub       10
9: 08c0 0000    sample_course_data_96_sub       4
9: 0840 0000    sample_course_data_97           3
9: 08c0 0000    sample_course_data_97           6
9: 0860 0000    sample_course_data_97_sub       2
9: 0840 0000    sample_course_data_99           5
9: 0860 0000    sample_course_data_99_sub       1
9: 0820 0000    sample_course_data_99_sub       1
9: 0840 0000    tutorial_course_data_00         1
9: 0840 0000    tutorial_course_data_01         5
9: 0840 0000    tutorial_course_data_08         3
9: 0860 0000    tutorial_course_data_08_sub     3
10: 0840 0000    sample_course_data_09_sub      6
10: 0840 0000    sample_course_data_09_sub_v32  6
10: 0840 0000    sample_course_data_12          36
10: 0844 0000    sample_course_data_12          12
10: 0840 0000    sample_course_data_21          7
10: 0840 0000    sample_course_data_31          1
10: 0842 0000    sample_course_data_35          19
10: 0840 0000    sample_course_data_38          3
10: 0844 0000    sample_course_data_58          6
10: 0840 0000    sample_course_data_68          1
10: 0840 0000    sample_course_data_80          1
10: 0844 0000    sample_course_data_80          1
10: 0840 0000    sample_course_data_92          1
10: 0840 0000    sample_course_data_93          1
10: 0840 0000    tutorial_course_data_01        2
11: 0840 0000    sample_course_data_01          1
11: 0840 0000    sample_course_data_01_corrupt  1
11: 0850 0000    sample_course_data_11          1
11: 0c40 0000    sample_course_data_11          1
11: 0840 0000    sample_course_data_11          2
11: 0844 0000    sample_course_data_12_sub      3
11: 0844 0000    sample_course_data_14          5
